"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Anchovies and Indian mackerels and seerfishes","Albania",134.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,27,43.11
"2","Anchovy","Albania",154454.4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,1078.9,1751.62,3187.08,4270.54,3415.56,3883.36,4287.92,5740.28,6152.58,10.64,34.58,5.32,52.62,5857.82,6216.72,6639.2,8058.72,11561.64,12837.52,14442.02,13919.22,13526.2,14126.58,13384.5442
"3","Cephalopod","Albania",9293.8716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,24,0,3,0,0,0,0,0,0,7,19,0,345,655,644,601,827,796,699,859,1260,1075.24,1466.6316
"4","Cod","Albania",521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,90,3,0,1,2,57,0,34,56,71,39,22,2,19,25,14,0,3,0,0,0,0,0,0
"5","Cod and hake and haddock","Albania",909.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,93,121,26,24,3,8,7.2
"6","Crustacean","Albania",25464.6129,0,0,0,0,0,0,0,0,0,0,283,693,998,702,1740,0,0,76,60,22,3,2,4,0,0,58,5,3,0,0,4,2,0,97,30,88,162.54,20.54,50,346,1683.02,4533.23,6097.22,7702.0629
"7","European eel","Albania",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,16,10,6,8,8,13,12,30,37,45,13,17,17,0,0,0,0,0,0,0,0,0,0
"8","European pilchard","Albania",288.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,13.3,0,13.3,0,0,0,0,63.84,95.76,76.076
"9","Euthynnus other than skipjack","Albania",229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,8,44,36,40,32,17,13,0,1,0,25,0,0,0,0,0,0,0
"10","Fish","Albania",13525.5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,78.96,0,0,0,0,0,0,0,0,0,0,0,0,484.6,283.7,548.62,128.66,310.94,424.92,1588.57,2078.27,2098.84,2439.67,3030.5432
"11","Flatfish","Albania",2832.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,683,239,21,10,0,2,14,2,2,1,2,3,1,9,6,0,12,1,0,0,0,20,1035,765.38
"12","Freshwater fish","Albania",153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,1,30,97,0,3,0,0,0,0,0,0,0,0,0,0,0
"13","Hake","Albania",403.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,34,0,2,8,21,4,1,0,298,0,1,0,0,0,0,0,3,1.45
"14","Mackerel","Albania",951.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.56,15.96,0,0,0,0,71.82,55.86,18.62,7.98,0,0,0,13.3,15.96,191.52,518.301
"15","Marine fish","Albania",22698.96,0,0,0,0,0,0,291,124,200,0,1788.92,1469.88,1786,2570,4420,1948.82,832.2,1032.04,783,604,141,157.98,504,416.92,188.98,159,185,242,202,237,206,195,233,546.24,590.66,242.66,0,0,66.5,0,0,180.88,154.28,0
"16","Salmon","Albania",464.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,11,3,0,0,274,158,13.56
"17","Salmonids","Albania",632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,294,62,12,3,4,8,0,0,2,0,0,0,0,6,5,7,0,5,11,130,24,0
"18","Sardine and sardinella and sprat","Albania",430.3614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.54,0,50.54,0,0,0,0,0,0,0,0,0,138.32,0,39.9,34.58,2.66,0,18.62,71.82,0,18.62,4.7614
"19","Seabass","Albania",638.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,1,0,7,7,8,17,16,82,253,234.37
"20","Seabream","Albania",4111.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,23,7,44,77,873,1283,1597.32
