"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Atlantic bluefin tuna, Skipjack tuna","Albania",1546.3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.48,143.64,159.6,247.38,308.56,434.4312
"2","Atlantic cod, Cod and hake and haddock","Albania",374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,62,0,0,0,2,50,0,34,48,68,10,14,0,0,0,0,0,3,0,0,0,0,0,0
"3","Atlantic mackerel, Jack and horse mackerel","Albania",10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Atlantic salmon and Danube salmon, Salmon and trout and char, Sockeye salmon, Rainbow trout, Trout and char","Albania",437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,39,5,0,0,0,0,0,1,0,0,0,0,3,0,6,0,4,0,118,11,0
"5","Atlantic salmon and Danube salmon, Sockeye salmon","Albania",462.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,11,3,0,0,274,158,11.885
"6","European anchovy","Albania",121175.7366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,972.5,1722.36,3173.78,3680.02,3308.4,3674.96,4224.08,5740.28,204.82,0,34.58,5.32,52.62,1466.16,0,558.44,6137.66,9460.24,11563.38,12744.94,13464.36,12975.58,13434.98,12568.2966
"7","European flounder, Common sole, Megrim","Albania",2470.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,475,235,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,748.53
"8","European hake","Albania",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","European seabass","Albania",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","European sprat, European pilchard","Albania",90.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.32,0,0,0,0,0,0,0,0,0,0
"11","Fish","Albania",8663.74,0,0,0,0,0,0,0,0,0,0,252.92,487.88,757,85,3706,1377.82,765.56,687.76,176.4,243.4,0,0,0,0,0,4,0,0,0,27,93,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Gilthead seabream, Porgy and seabream","Albania",3460.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,16,627,1089,1527.06
"13","Marine fish","Albania",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Marine fish, Freshwater fish","Albania",6309.3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.53,301.89,0,0,0,704.16,426.58,670.53,1935.26,2015.3831
"15","Rainbow trout","Albania",1459.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,13,0,2,35,0,0,0,0,0,0,251,566,473,82.96
"16","Tuna","Albania",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Carps and eels and snakeheads","Algeria",115.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,6,19,5,4,4,0,22,12,5,11,0,1,6,6.27,0.800000000000001,0,0,0,0,0,0,0,0,0,0
"18","Common sole","Algeria",153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,48,7,47,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
