"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Afghanistan","Imports","Seabass",3.57754369767593,"Fish",7575.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4345,3230.69
"2","Afghanistan","Aquaculture","Rainbow trout",4.1,"Freshwater fish",1630,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,150,150,150,150,50,50,50,50,50,50,50,50,50
"3","Afghanistan","Capture","Freshwater fish",2.82125300394253,"Freshwater fish",48750,600,600,600,600,700,700,700,800,800,800,800,1000,1000,1000,1100,1100,1200,1200,1300,1300,1300,1250,1200,1200,1000,800,900,900,1000,1000,1000,1000,1000,1000,1000,1150,1300,1450,1600,1750,1900,2000,2050,2100
"4","Afghanistan","Aquaculture","Carps",2.73333333333333,"Freshwater fish",62500,150,150,150,150,150,150,150,150,150,150,150,150,150,150,300,300,300,300,300,300,300,300,300,300,300,400,400,400,400,400,400,900,900,1500,2100,2800,3430,4060,4710,5400,6100,6950,7900,7950
"5","Albania","Capture,Aquaculture","Silver carp",2,"Freshwater fish,Freshwater fish",10756,121,154,183,208,231,249,265,292,250,250,300,818,980,931,594,346,211,176,133,17,80,34,108,132,142,103,133,104,73,144,155,176,285,361,165,180,170,160,190,198,231,219,237,267
"6","Albania","Capture,Aquaculture","Rainbow trout",4.1,"Freshwater fish,Freshwater fish",11672,0,0,0,2,8,5,10,10,20,20,22,246,266,270,203,37,20,20,20,0,0,2,8,100,100,15,417,350,350,350,217,221,254,300,500,500,500,500,500,500,600,600,1850,1759
"7","Albania","Imports,Capture","Marine fish",3.49833027677705,"Fish,Marine fish",62301.461,5498,5490,5990,5950,5900,6143,5429,1137,723,857,0,0,0,0,0,0,0,0,0,0,646.74,100.98,497.62,3735.82,1491.28,1160.98,1345.88,369.96,1613.3,2262.44,1882.26,1563.54,1718.24,1817.92,1807.4,3156.36,318.66,509.8,597.14,393.22,391.18,35.08,174.36,134.041
"8","Albania","Imports,Capture","Jack and horse mackerel",3.58310692058759,"Fish,Marine fish",2619.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68,18,85,92,90,21,66,69,104,75,118,131,155,182,91,170,85,109,95,117,121,114,110,283.86
"9","Albania","Capture,Aquaculture","Grass carp",2,"Freshwater fish,Freshwater fish",777,0,0,0,0,0,0,0,0,0,0,0,2,7,13,12,4,2,2,2,0,1,0,3,6,46,12,16,23,29,46,44,93,115,134,67,60,2,2,3,3,4,5,7,12
"10","Albania","Capture,Aquaculture","Gilthead seabream",3.7,"Marine fish,Marine fish",20704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,11,20,20,23,190,381,258,408,275,480,453,453,437,692,445,1654,1656,1643,1862,1968,2465,2357,2509
"11","Albania","Imports,Capture","Freshwater fish",2.91184134885511,"Fish,Freshwater fish",36987,2879,2846,2817,2790,2761,2778,3092,2745,2432,2772,2784,734,863,927,635,317,481,500,440,0,0,0,0,0,21,0,43,99,43,0,0,210,320,508,157,73,2,3,0,2,4,10,9,14
"12","Albania","Capture,Aquaculture","European seabass",3.5,"Marine fish,Marine fish",8322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,14,30,30,50,70,64,2,13,43,145,200,258,208,305,265,442,639,744,741,845,1043,1045,1080
