,Country,Import.items,Trade.flow,Taxon,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Algeria,Tilapia,Imports,Fish,2.044832904,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0
2,Algeria,Crustacean,Imports,Crustacean,2.5,30781.2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,18,13,20,20,122,182,415,451.9701,306,609,596.9701,944.9701,1082.9701,1356,3145.4576,3379.3102,3458.042,2686.1503,3205.2842,2973.6088,4056.845,1716.64
3,Algeria,Carps and eels and snakeheads,Imports,Fish,2.54046911,17580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652.5,7518.75,3013.75,1971.25,1342.5,43.75,37.5,0
4,Algeria,Tilapia and catfish and carp,Imports,Fish,2.543419164,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.25,123.75,0,0,0,0,0,0
5,Algeria,Pilchards Sardinops spp.,Imports,Fish,2.8,3186.68,516.04,5.32,0,1178.38,0,0,0,0,550.62,885.78,50.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Algeria,Sardine and sardinella and sprat,Imports,Fish,2.937098662,80595.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,77.14,728.84,1301.92,1419.42,943.88,1988.2,947.16,1557.88,774.84,1004.52,1482.34,1926.68,3864.94,6067.38,4693.06,8669.66,4943.76,2488.82,8000.84,3920.76,2604.96,6346.94,6375.76,5058.16,2883,507.39
7,Algeria,Cephalopod,Imports,Cephalopod,3,17751.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,137,206,190,422,415,423,671,645,463,504,523,791,780,822,624,609,1202,1120,1013,999,610,2411.76,1033,1128.02
8,Algeria,European pilchard,Imports,Fish,3.1,3573.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3573.38
9,Algeria,Common sole,Imports,Fish,3.2,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11,16,75,173,210,98,85,115,687,67,32,16,18,47,32,56,31,84,53,106,19,83,17,0
10,Algeria,Jack and horse mackerel,Imports,Fish,3.399612863,2858.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,113,583,1028,380,712.83
11,Algeria,Fish,Imports,Fish,3.441211613,196415.4763,5,0,0,0,0,2588.32,2926.82,3787,3468,7972,13333,3875,0,842,0,0,30.16,24.07,26.76,2767.17,918.05,997.47,1499.4,2322.67,1086,1266.99,2307.8,5389.62,7170.23,5339.57,8662.5,8093.03,8612.96,12825.42,13794.67,16508.12,4071.83,3555.72,9924.04,2715.81,7406.59,11242.7,9378.53,9680.4563
12,Algeria,Mackerel,Imports,Fish,3.499079624,4970.2444,0,0,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,667.66,0,973,434,248,0,29.26,0,962.92,0,0,59.52,7.98,42.56,16.96,7.98,14.3,72.18,139.94,204.84,443.2,236.66,240,150.6644
